Year,region,crop,price_fcfa_kg,price_usd_t,price_usd_kg,usd_from_fcfa_kg,usd_kg,cpi,deflator,usd_kg_real
2029,Maritime,riz_paddy,387.2,645.4,0.6454,0.6453333333333333,0.6454,,1.0,0.6454
2030,Maritime,riz_paddy,402.7,671.1,0.6711,0.6711666666666667,0.6711,,1.0,0.6711
2015,Maritime,sorgho,201.2,335.3,0.3353,0.3353333333333333,0.3353,111.179750599295,1.7387064796489142,0.19284451051663704
2016,Maritime,sorgho,187.6,312.6,0.31260000000000004,0.31266666666666665,0.31260000000000004,112.608909002895,1.7610566554982903,0.1775070660129046
2017,Maritime,sorgho,207.0,344.9,0.3449,0.345,0.3449,111.503213533868,1.743765018611601,0.19779041116136853
2018,Maritime,sorgho,196.3,327.1,0.3271,0.32716666666666666,0.3271,112.537690648103,1.7599428931964383,0.1858583032804635
2019,Maritime,sorgho,232.2,387.0,0.387,0.38699999999999996,0.387,113.296929295441,1.7718163966771596,0.21841992247378145
2020,Maritime,sorgho,236.3,393.9,0.3939,0.39383333333333337,0.3939,115.222166604613,1.8019246004307703,0.2185996017290811
2021,Maritime,sorgho,243.1,405.2,0.4052,0.4051666666666667,0.4052,120.045614301505,1.8773570395181713,0.21583534270284338
2022,Maritime,sorgho,249.0,415.1,0.4151,0.415,0.4151,129.610336993973,2.0269368436803203,0.20479177794523715
2023,Maritime,sorgho,242.6,404.3,0.4043,0.4043333333333333,0.4043,136.725018664212,2.138201197611713,0.18908417058768245
2024,Maritime,sorgho,262.3,437.1,0.43710000000000004,0.4371666666666667,0.43710000000000004,140.63893740649,2.199409788576669,0.19873513443025365
2025,Maritime,sorgho,239.0,398.3,0.3983,0.3983333333333333,0.3983,,1.0,0.3983
2026,Maritime,sorgho,273.7,456.2,0.4562,0.45616666666666666,0.4562,,1.0,0.4562
2027,Maritime,sorgho,254.0,423.3,0.4233,0.42333333333333334,0.4233,,1.0,0.4233
2028,Maritime,sorgho,264.3,440.5,0.4405,0.4405,0.4405,,1.0,0.4405
2029,Maritime,sorgho,259.9,433.1,0.43310000000000004,0.43316666666666664,0.43310000000000004,,1.0,0.43310000000000004
2030,Maritime,sorgho,277.9,463.2,0.4632,0.4631666666666666,0.4632,,1.0,0.4632
2015,Maritime,mil,206.8,344.6,0.3446,0.3446666666666667,0.3446,111.179750599295,1.7387064796489142,0.19819331441703886
2016,Maritime,mil,218.6,364.4,0.3644,0.36433333333333334,0.3644,112.608909002895,1.7610566554982903,0.20692122474440958
2017,Maritime,mil,238.0,396.7,0.3967,0.39666666666666667,0.3967,111.503213533868,1.743765018611601,0.22749624850018815
2018,Maritime,mil,230.2,383.6,0.3836,0.38366666666666666,0.3836,112.537690648103,1.7599428931964383,0.2179616176655023
2019,Maritime,mil,230.7,384.4,0.38439999999999996,0.3845,0.38439999999999996,113.296929295441,1.7718163966771596,0.21695250180599893
2020,Maritime,mil,249.0,415.1,0.4151,0.415,0.4151,115.222166604613,1.8019246004307703,0.23036479989271788
2021,Maritime,mil,243.8,406.3,0.4063,0.4063333333333334,0.4063,120.045614301505,1.8773570395181713,0.21642127280396167
2022,Maritime,mil,265.7,442.8,0.4428,0.4428333333333333,0.4428,129.610336993973,2.0269368436803203,0.2184577192824645
2023,Maritime,mil,281.1,468.5,0.4685,0.4685,0.4685,136.725018664212,2.138201197611713,0.21910940865775225
2024,Maritime,mil,260.3,433.9,0.43389999999999995,0.43383333333333335,0.43389999999999995,140.63893740649,2.199409788576669,0.19728019864856333
2025,Maritime,mil,277.7,462.9,0.4629,0.4628333333333333,0.4629,,1.0,0.4629
2026,Maritime,mil,298.6,497.7,0.4977,0.4976666666666667,0.4977,,1.0,0.4977
2027,Maritime,mil,300.9,501.5,0.5015,0.5015,0.5015,,1.0,0.5015
2028,Maritime,mil,294.0,489.9,0.4899,0.49,0.4899,,1.0,0.4899
2029,Maritime,mil,339.7,566.1,0.5661,0.5661666666666666,0.5661,,1.0,0.5661
2030,Maritime,mil,315.3,525.5,0.5255,0.5255,0.5255,,1.0,0.5255
2015,Maritime,manioc,118.3,197.1,0.1971,0.19716666666666666,0.1971,111.179750599295,1.7387064796489142,0.11336013427625756
2016,Maritime,manioc,111.7,186.2,0.18619999999999998,0.18616666666666667,0.18619999999999998,112.608909002895,1.7610566554982903,0.1057319759808152
2017,Maritime,manioc,114.4,190.6,0.1906,0.19066666666666668,0.1906,111.503213533868,1.743765018611601,0.10930371808453708
2018,Maritime,manioc,120.2,200.3,0.2003,0.20033333333333334,0.2003,112.537690648103,1.7599428931964383,0.11381051099687202
2019,Maritime,manioc,135.7,226.1,0.2261,0.22616666666666665,0.2261,113.296929295441,1.7718163966771596,0.1276091588406253
2020,Maritime,manioc,128.9,214.9,0.2149,0.21483333333333335,0.2149,115.222166604613,1.8019246004307703,0.1192613719512047
2021,Maritime,manioc,147.4,245.7,0.2457,0.24566666666666667,0.2457,120.045614301505,1.8773570395181713,0.13087547804069255
2022,Maritime,manioc,141.0,234.9,0.2349,0.235,0.2349,129.610336993973,2.0269368436803203,0.11588915596081957
2023,Maritime,manioc,154.3,257.2,0.2572,0.2571666666666667,0.2572,136.725018664212,2.138201197611713,0.12028802541467208
2024,Maritime,manioc,152.1,253.5,0.2535,0.2535,0.2535,140.63893740649,2.199409788576669,0.11525819395577509
2025,Maritime,manioc,147.0,245.1,0.24509999999999998,0.245,0.24509999999999998,,1.0,0.24509999999999998
2026,Maritime,manioc,160.3,267.1,0.2671,0.26716666666666666,0.2671,,1.0,0.2671
2027,Maritime,manioc,163.6,272.7,0.2727,0.27266666666666667,0.2727,,1.0,0.2727
2028,Maritime,manioc,175.3,292.1,0.2921,0.2921666666666667,0.2921,,1.0,0.2921
2029,Maritime,manioc,170.4,284.1,0.2841,0.28400000000000003,0.2841,,1.0,0.2841
2030,Maritime,manioc,185.0,308.3,0.3083,0.30833333333333335,0.3083,,1.0,0.3083
2015,Maritime,igname,192.2,320.3,0.32030000000000003,0.3203333333333333,0.32030000000000003,111.179750599295,1.7387064796489142,0.18421740745147286
2016,Maritime,igname,197.4,329.1,0.3291,0.329,0.3291,112.608909002895,1.7610566554982903,0.1868764408984226
2017,Maritime,igname,221.7,369.5,0.3695,0.3695,0.3695,111.503213533868,1.743765018611601,0.21189781653849135
2018,Maritime,igname,226.8,378.0,0.378,0.378,0.378,112.537690648103,1.7599428931964383,0.21477969623972853
2019,Maritime,igname,235.4,392.3,0.39230000000000004,0.39233333333333337,0.39230000000000004,113.296929295441,1.7718163966771596,0.22141120306579967
2020,Maritime,igname,215.8,359.7,0.35969999999999996,0.3596666666666667,0.35969999999999996,115.222166604613,1.8019246004307703,0.19961989525755386
2021,Maritime,igname,218.0,363.3,0.3633,0.36333333333333334,0.3633,120.045614301505,1.8773570395181713,0.19351673248751974
2022,Maritime,igname,256.4,427.4,0.4274,0.4273333333333333,0.4274,129.610336993973,2.0269368436803203,0.2108600479253056
2023,Maritime,igname,252.4,420.7,0.42069999999999996,0.4206666666666667,0.42069999999999996,136.725018664212,2.138201197611713,0.19675416909779372
2024,Maritime,igname,257.5,429.2,0.42919999999999997,0.42916666666666664,0.42919999999999997,140.63893740649,2.199409788576669,0.1951432617192058
2025,Maritime,igname,241.2,402.1,0.4021,0.40199999999999997,0.4021,,1.0,0.4021
2026,Maritime,igname,268.6,447.6,0.4476,0.4476666666666667,0.4476,,1.0,0.4476
2027,Maritime,igname,281.5,469.2,0.4692,0.4691666666666667,0.4692,,1.0,0.4692
2028,Maritime,igname,258.9,431.4,0.43139999999999995,0.43149999999999994,0.43139999999999995,,1.0,0.43139999999999995
2029,Maritime,igname,297.5,495.8,0.4958,0.49583333333333335,0.4958,,1.0,0.4958
2030,Maritime,igname,309.0,515.0,0.515,0.515,0.515,,1.0,0.515
2015,Maritime,soja,220.2,366.9,0.3669,0.367,0.3669,111.179750599295,1.7387064796489142,0.21101894097391627
2016,Maritime,soja,233.2,388.7,0.3887,0.38866666666666666,0.3887,112.608909002895,1.7610566554982903,0.2207197586667179
2017,Maritime,soja,249.2,415.4,0.4154,0.41533333333333333,0.4154,111.503213533868,1.743765018611601,0.23822017047385471
2018,Maritime,soja,235.7,392.8,0.39280000000000004,0.3928333333333333,0.39280000000000004,112.537690648103,1.7599428931964383,0.2231890600078449
2019,Maritime,soja,259.9,433.1,0.43310000000000004,0.43316666666666664,0.43310000000000004,113.296929295441,1.7718163966771596,0.24443841969869445
2020,Maritime,soja,243.7,406.2,0.4062,0.4061666666666666,0.4062,115.222166604613,1.8019246004307703,0.22542563651270056
2021,Maritime,soja,262.4,437.3,0.4373,0.4373333333333333,0.4373,120.045614301505,1.8773570395181713,0.23293384838093142
2022,Maritime,soja,261.8,436.4,0.43639999999999995,0.43633333333333335,0.43639999999999995,129.610336993973,2.0269368436803203,0.21530024547169713
2023,Maritime,soja,272.3,453.9,0.45389999999999997,0.45383333333333337,0.45389999999999997,136.725018664212,2.138201197611713,0.21228123925240924
2024,Maritime,soja,279.8,466.3,0.4663,0.4663333333333334,0.4663,140.63893740649,2.199409788576669,0.21201142343817722
2025,Maritime,soja,284.4,474.1,0.4741,0.474,0.4741,,1.0,0.4741
2026,Maritime,soja,282.1,470.2,0.4702,0.4701666666666667,0.4702,,1.0,0.4702
2027,Maritime,soja,321.3,535.5,0.5355,0.5355,0.5355,,1.0,0.5355
2028,Maritime,soja,300.3,500.6,0.5006,0.5005000000000001,0.5006,,1.0,0.5006
2029,Maritime,soja,316.4,527.4,0.5274,0.5273333333333333,0.5274,,1.0,0.5274
2030,Maritime,soja,300.1,500.1,0.5001,0.5001666666666668,0.5001,,1.0,0.5001
2015,Maritime,arachide,291.1,485.1,0.48510000000000003,0.4851666666666667,0.48510000000000003,111.179750599295,1.7387064796489142,0.2790005131274102
2016,Maritime,arachide,294.4,490.7,0.49069999999999997,0.49066666666666664,0.49069999999999997,112.608909002895,1.7610566554982903,0.27863953068628367
2017,Maritime,arachide,310.4,517.4,0.5174,0.5173333333333333,0.5174,111.503213533868,1.743765018611601,0.2967142903302177
2018,Maritime,arachide,341.1,568.5,0.5685,0.5685,0.5685,112.537690648103,1.7599428931964383,0.3230218447414965
2019,Maritime,arachide,328.4,547.3,0.5473,0.5473333333333333,0.5473,113.296929295441,1.7718163966771596,0.30889205056821856
2020,Maritime,arachide,371.7,619.5,0.6195,0.6194999999999999,0.6195,115.222166604613,1.8019246004307703,0.34379906897985724
2021,Maritime,arachide,382.7,637.8,0.6377999999999999,0.6378333333333334,0.6377999999999999,120.045614301505,1.8773570395181713,0.33973292590294546
2022,Maritime,arachide,368.2,613.7,0.6137,0.6136666666666667,0.6137,129.610336993973,2.0269368436803203,0.3027721371356108
2023,Maritime,arachide,390.9,651.5,0.6515,0.6515,0.6515,136.725018664212,2.138201197611713,0.3046953676425306
2024,Maritime,arachide,390.6,651.0,0.651,0.651,0.651,140.63893740649,2.199409788576669,0.2959884980876118
2025,Maritime,arachide,399.7,666.2,0.6662,0.6661666666666667,0.6662,,1.0,0.6662
2026,Maritime,arachide,426.6,711.0,0.711,0.7110000000000001,0.711,,1.0,0.711
2027,Maritime,arachide,420.0,699.9,0.6999,0.7,0.6999,,1.0,0.6999
2028,Maritime,arachide,420.9,701.5,0.7015,0.7015,0.7015,,1.0,0.7015
2029,Maritime,arachide,431.2,718.7,0.7187,0.7186666666666667,0.7187,,1.0,0.7187
2030,Maritime,arachide,424.5,707.5,0.7075,0.7075,0.7075,,1.0,0.7075
2015,Maritime,palme,83.1,138.5,0.1385,0.13849999999999998,0.1385,111.179750599295,1.7387064796489142,0.07965691830168277
2016,Maritime,palme,84.5,140.9,0.1409,0.14083333333333334,0.1409,112.608909002895,1.7610566554982903,0.08000878311330217
2017,Maritime,palme,80.8,134.7,0.1347,0.13466666666666666,0.1347,111.503213533868,1.743765018611601,0.07724664651619698
2018,Maritime,palme,91.1,151.8,0.15180000000000002,0.15183333333333332,0.15180000000000002,112.537690648103,1.7599428931964383,0.0862527986486529
2019,Maritime,palme,93.5,155.8,0.15580000000000002,0.15583333333333332,0.15580000000000002,113.296929295441,1.7718163966771596,0.08793236155404432
2020,Maritime,palme,94.7,157.8,0.15780000000000002,0.15783333333333333,0.15780000000000002,115.222166604613,1.8019246004307703,0.08757303161423967
2021,Maritime,palme,90.9,151.5,0.1515,0.1515,0.1515,120.045614301505,1.8773570395181713,0.08069855483583606
2022,Maritime,palme,90.6,151.0,0.151,0.151,0.151,129.610336993973,2.0269368436803203,0.07449664772279163
2023,Maritime,palme,99.5,165.8,0.1658,0.16583333333333333,0.1658,136.725018664212,2.138201197611713,0.07754181420588115
2024,Maritime,palme,103.9,173.2,0.1732,0.17316666666666666,0.1732,140.63893740649,2.199409788576669,0.07874839918398518
2025,Maritime,palme,102.1,170.1,0.1701,0.17016666666666666,0.1701,,1.0,0.1701
2026,Maritime,palme,99.9,166.5,0.1665,0.1665,0.1665,,1.0,0.1665
2027,Maritime,palme,100.7,167.8,0.1678,0.16783333333333333,0.1678,,1.0,0.1678
2028,Maritime,palme,115.2,191.9,0.19190000000000002,0.192,0.19190000000000002,,1.0,0.19190000000000002
2029,Maritime,palme,118.1,196.9,0.19690000000000002,0.19683333333333333,0.19690000000000002,,1.0,0.19690000000000002
2030,Maritime,palme,113.1,188.5,0.1885,0.1885,0.1885,,1.0,0.1885
2015,Maritime,coton,231.4,385.7,0.3857,0.38566666666666666,0.3857,111.179750599295,1.7387064796489142,0.22183157681558874
2016,Maritime,coton,254.7,424.4,0.4244,0.4245,0.4244,112.608909002895,1.7610566554982903,0.24099167887356593
2017,Maritime,coton,249.1,415.1,0.4151,0.4151666666666667,0.4151,111.503213533868,1.743765018611601,0.2380481289448654
2018,Maritime,coton,236.0,393.3,0.39330000000000004,0.3933333333333333,0.39330000000000004,112.537690648103,1.7599428931964383,0.22347316013514615
2019,Maritime,coton,247.1,411.8,0.4118,0.41183333333333333,0.4118,113.296929295441,1.7718163966771596,0.23241685807416848
2020,Maritime,coton,275.4,459.0,0.459,0.45899999999999996,0.459,115.222166604613,1.8019246004307703,0.25472763948628646
2021,Maritime,coton,259.2,432.1,0.43210000000000004,0.432,0.43210000000000004,120.045614301505,1.8773570395181713,0.23016399699382684
2022,Maritime,coton,299.6,499.4,0.49939999999999996,0.49933333333333335,0.49939999999999996,129.610336993973,2.0269368436803203,0.246381628296438
2023,Maritime,coton,278.1,463.6,0.4636,0.4635,0.4636,136.725018664212,2.138201197611713,0.2168177627614385
2024,Maritime,coton,299.2,498.6,0.49860000000000004,0.49866666666666665,0.49860000000000004,140.63893740649,2.199409788576669,0.22669718148461326
2025,Maritime,coton,309.6,516.1,0.5161,0.516,0.5161,,1.0,0.5161
2026,Maritime,coton,304.3,507.1,0.5071,0.5071666666666667,0.5071,,1.0,0.5071
2027,Maritime,coton,317.3,528.8,0.5287999999999999,0.5288333333333334,0.5287999999999999,,1.0,0.5287999999999999
2028,Maritime,coton,350.5,584.2,0.5842,0.5841666666666666,0.5842,,1.0,0.5842
2029,Maritime,coton,357.6,596.1,0.5961000000000001,0.5960000000000001,0.5961000000000001,,1.0,0.5961000000000001
2030,Maritime,coton,337.1,561.8,0.5618,0.5618333333333334,0.5618,,1.0,0.5618
2015,Maritime,noix_de_cajou,375.6,626.0,0.626,0.626,0.626,111.179750599295,1.7387064796489142,0.3600377679195192
2016,Maritime,noix_de_cajou,366.5,610.8,0.6108,0.6108333333333333,0.6108,112.608909002895,1.7610566554982903,0.3468372230348117
2017,Maritime,noix_de_cajou,370.7,617.8,0.6177999999999999,0.6178333333333333,0.6177999999999999,111.503213533868,1.743765018611601,0.3542908553653043
2018,Maritime,noix_de_cajou,395.2,658.7,0.6587000000000001,0.6586666666666666,0.6587000000000001,112.537690648103,1.7599428931964383,0.3742735077066381
2019,Maritime,noix_de_cajou,394.1,656.9,0.6568999999999999,0.6568333333333334,0.6568999999999999,113.296929295441,1.7718163966771596,0.37074947564089666
2020,Maritime,noix_de_cajou,405.3,675.5,0.6755,0.6755,0.6755,115.222166604613,1.8019246004307703,0.37487695092153916
2021,Maritime,noix_de_cajou,403.4,672.4,0.6724,0.6723333333333333,0.6724,120.045614301505,1.8773570395181713,0.3581630909017569
2022,Maritime,noix_de_cajou,420.5,700.9,0.7009,0.7008333333333333,0.7009,129.610336993973,2.0269368436803203,0.3457927178073156
2023,Maritime,noix_de_cajou,441.1,735.2,0.7352000000000001,0.7351666666666667,0.7352000000000001,136.725018664212,2.138201197611713,0.3438404210142571
2024,Maritime,noix_de_cajou,461.5,769.2,0.7692,0.7691666666666667,0.7692,140.63893740649,2.199409788576669,0.34973018852379567
2025,Maritime,noix_de_cajou,435.7,726.2,0.7262000000000001,0.7261666666666666,0.7262000000000001,,1.0,0.7262000000000001
2026,Maritime,noix_de_cajou,467.0,778.3,0.7783,0.7783333333333333,0.7783,,1.0,0.7783
2027,Maritime,noix_de_cajou,509.2,848.6,0.8486,0.8486666666666667,0.8486,,1.0,0.8486
2028,Maritime,noix_de_cajou,473.7,789.4,0.7894,0.7895,0.7894,,1.0,0.7894
2029,Maritime,noix_de_cajou,537.2,895.3,0.8953,0.8953333333333334,0.8953,,1.0,0.8953
2030,Maritime,noix_de_cajou,506.3,843.8,0.8438,0.8438333333333333,0.8438,,1.0,0.8438
2015,Maritime,café,591.0,984.9,0.9849,0.985,0.9849,111.179750599295,1.7387064796489142,0.5664555872586813
2016,Maritime,café,636.6,1061.0,1.061,1.061,1.061,112.608909002895,1.7610566554982903,0.6024791971839148
2017,Maritime,café,647.4,1078.9,1.0789000000000002,1.079,1.0789000000000002,111.503213533868,1.743765018611601,0.618718685421863
2018,Maritime,café,652.8,1088.0,1.088,1.0879999999999999,1.088,112.537690648103,1.7599428931964383,0.6182018770074726
2019,Maritime,café,670.3,1117.1,1.1171,1.1171666666666666,1.1171,113.296929295441,1.7718163966771596,0.6304829338384011
2020,Maritime,café,749.6,1249.4,1.2494,1.2493333333333334,1.2494,115.222166604613,1.8019246004307703,0.6933697446060267
2021,Maritime,café,683.1,1138.6,1.1385999999999998,1.1385,1.1385999999999998,120.045614301505,1.8773570395181713,0.6064909210302504
2022,Maritime,café,756.4,1260.6,1.2606,1.2606666666666666,1.2606,129.610336993973,2.0269368436803203,0.621923669664577
2023,Maritime,café,739.4,1232.3,1.2323,1.2323333333333333,1.2323,136.725018664212,2.138201197611713,0.5763255587811058
2024,Maritime,café,841.6,1402.7,1.4027,1.4026666666666667,1.4027,140.63893740649,2.199409788576669,0.6377620065552888
2025,Maritime,café,875.8,1459.7,1.4597,1.4596666666666667,1.4597,,1.0,1.4597
2026,Maritime,café,860.8,1434.7,1.4347,1.4346666666666665,1.4347,,1.0,1.4347
2027,Maritime,café,905.7,1509.5,1.5095,1.5095,1.5095,,1.0,1.5095
2028,Maritime,café,852.9,1421.6,1.4216,1.4215,1.4216,,1.0,1.4216
2029,Maritime,café,869.0,1448.3,1.4483,1.4483333333333333,1.4483,,1.0,1.4483
2030,Maritime,café,958.9,1598.2,1.5982,1.5981666666666667,1.5982,,1.0,1.5982
2015,Maritime,cacao,735.4,1225.7,1.2257,1.2256666666666667,1.2257,111.179750599295,1.7387064796489142,0.7049493484647839
2016,Maritime,cacao,856.2,1427.0,1.427,1.427,1.427,112.608909002895,1.7610566554982903,0.8103089673717686
2017,Maritime,cacao,789.9,1316.5,1.3165,1.3165,1.3165,111.503213533868,1.743765018611601,0.7549755763813908
2018,Maritime,cacao,820.2,1366.9,1.3669,1.367,1.3669,112.537690648103,1.7599428931964383,0.7766729280160977
2019,Maritime,cacao,934.4,1557.4,1.5574000000000001,1.5573333333333332,1.5574000000000001,113.296929295441,1.7718163966771596,0.8789849800017242
2020,Maritime,cacao,832.0,1386.6,1.3865999999999998,1.3866666666666667,1.3865999999999998,115.222166604613,1.8019246004307703,0.7695105553631476
2021,Maritime,cacao,977.1,1628.5,1.6285,1.6285,1.6285,120.045614301505,1.8773570395181713,0.8674428815192016
2022,Maritime,cacao,1025.6,1709.3,1.7093,1.7093333333333331,1.7093,129.610336993973,2.0269368436803203,0.8432921851163426
2023,Maritime,cacao,1000.6,1667.6,1.6676,1.6676666666666666,1.6676,136.725018664212,2.138201197611713,0.7799078972842425
2024,Maritime,cacao,1012.9,1688.2,1.6882000000000001,1.6881666666666666,1.6882000000000001,140.63893740649,2.199409788576669,0.7675695583279666
2025,Maritime,cacao,1066.2,1777.0,1.777,1.7770000000000001,1.777,,1.0,1.777
2026,Maritime,cacao,1059.4,1765.6,1.7655999999999998,1.7656666666666667,1.7655999999999998,,1.0,1.7655999999999998
2027,Maritime,cacao,1106.3,1843.9,1.8439,1.8438333333333332,1.8439,,1.0,1.8439
2028,Maritime,cacao,1066.8,1778.0,1.778,1.778,1.778,,1.0,1.778
2029,Maritime,cacao,1128.5,1880.9,1.8809,1.8808333333333334,1.8809,,1.0,1.8809
2030,Maritime,cacao,1225.7,2042.9,2.0429,2.0428333333333333,2.0429,,1.0,2.0429
2015,Plateaux,maïs,177.7,296.2,0.29619999999999996,0.29616666666666663,0.29619999999999996,111.179750599295,1.7387064796489142,0.17035652852677569
2016,Plateaux,maïs,184.5,307.5,0.3075,0.3075,0.3075,112.608909002895,1.7610566554982903,0.1746110774119263
2017,Plateaux,maïs,170.7,284.5,0.2845,0.2845,0.2845,111.503213533868,1.743765018611601,0.16315271665818887
2018,Plateaux,maïs,176.8,294.6,0.29460000000000003,0.2946666666666667,0.29460000000000003,112.537690648103,1.7599428931964383,0.1673917950058837
2019,Plateaux,maïs,206.0,343.3,0.3433,0.3433333333333333,0.3433,113.296929295441,1.7718163966771596,0.19375596740374462
2020,Plateaux,maïs,184.0,306.6,0.30660000000000004,0.30666666666666664,0.30660000000000004,115.222166604613,1.8019246004307703,0.170151403630709
2021,Plateaux,maïs,202.2,337.0,0.337,0.33699999999999997,0.337,120.045614301505,1.8773570395181713,0.17950767643350993
2022,Plateaux,maïs,218.1,363.5,0.3635,0.3635,0.3635,129.610336993973,2.0269368436803203,0.17933464534592555
2023,Plateaux,maïs,230.2,383.6,0.3836,0.38366666666666666,0.3836,136.725018664212,2.138201197611713,0.17940313588284687
2024,Plateaux,maïs,233.5,389.1,0.3891,0.38916666666666666,0.3891,140.63893740649,2.199409788576669,0.17691109770489974
2025,Plateaux,maïs,208.3,347.1,0.3471,0.3471666666666667,0.3471,,1.0,0.3471
2026,Plateaux,maïs,216.1,360.2,0.36019999999999996,0.36016666666666663,0.36019999999999996,,1.0,0.36019999999999996
2027,Plateaux,maïs,254.4,423.9,0.4239,0.424,0.4239,,1.0,0.4239
2028,Plateaux,maïs,247.9,413.1,0.4131,0.4131666666666667,0.4131,,1.0,0.4131
2029,Plateaux,maïs,236.2,393.7,0.3937,0.39366666666666666,0.3937,,1.0,0.3937
2030,Plateaux,maïs,255.4,425.7,0.42569999999999997,0.4256666666666667,0.42569999999999997,,1.0,0.42569999999999997
2015,Plateaux,riz_paddy,252.7,421.1,0.42110000000000003,0.42116666666666663,0.42110000000000003,111.179750599295,1.7387064796489142,0.24219154004937626
2016,Plateaux,riz_paddy,267.5,445.9,0.44589999999999996,0.44583333333333336,0.44589999999999996,112.608909002895,1.7610566554982903,0.25320025826984693
2017,Plateaux,riz_paddy,274.9,458.1,0.4581,0.4581666666666666,0.4581,111.503213533868,1.743765018611601,0.2627074147666655
2018,Plateaux,riz_paddy,255.3,425.5,0.4255,0.42550000000000004,0.4255,112.537690648103,1.7599428931964383,0.2417692083333452
2019,Plateaux,riz_paddy,271.8,453.0,0.453,0.453,0.453,113.296929295441,1.7718163966771596,0.25566983173287594
2020,Plateaux,riz_paddy,280.9,468.2,0.4682,0.4681666666666666,0.4682,115.222166604613,1.8019246004307703,0.25983329151956275
2021,Plateaux,riz_paddy,273.6,456.1,0.4561,0.456,0.4561,120.045614301505,1.8773570395181713,0.24294792647277114
